Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,2702207,Coqueiro Seco,4.12E-07,3.26E-06,6.56E-06,2.76E-05,0.001273527,0.108014764,0.288601927,4.384493782,44.4694,519,2096.8,0,6175.25,,,4869,30118,68351.54,80096.75,65423.15,89057.31,80619.1,91513.48,116202.94,190694.04,263269.92,208025.84,253584.85,230122.99,218148.49,128603.21,164618.33,304644.4
AL,2702306,Coruripe,2.74E-05,6.05E-05,0.000162702,0.000468443,0.041147346,4.603308146,6.415312109,38.6560648,3150.0023,26823.6,84098.6,56195.23,123657.66,,,255488.3,788348,2068352.44,2159604.99,2126412.84,1964248.63,1856159.6,2469371.69,1601496.22,1738397.62,2888335.66,3089168.46,3806696.54,2217255.15,2738316.94,2360199.94,2656992.11,2751174
AL,2702355,Craíbas,2.21E-06,7.57E-06,1.09E-05,1.04E-06,0.001515164,0.049969782,0.487170182,1.034028727,74.397,550.1,2127.77,0,39286.04,25943.54,2793.32,3204.22,5860.71,86032.07,99678.47,106366,150569,198677,319618.29,960283.39,366903.78,453956.55,620807.74,626936.21,619528.3,465490.58,182133.54,302070.24,461512.5
AL,2702405,Delmiro Gouveia,1.26E-05,0.000123474,0.000203475,0.00093618,0.186439273,0.141159782,8.197520109,99.76318789,6141.1663,33242.3,184223.24,205014.8599,187305.66,139044,122408,145294,380229,1012232.48,1347134.2,532214.04,899126.21,1833976.95,3466053.41,2424068.75,2702092.86,2525967.13,2828363.53,2268275.56,1411987.65,2296831.06,1913994.48,1445265.42,1189864
AL,2702504,Dois Riachos,1.58E-06,7.20E-06,,3.35E-06,0,0.189762436,0.1814928,0.875801346,37.4027,0,2839.37,235.11,,,,20861.7,6635.81,26277.38,33644,45930.99,94446.3,61731.88,133468.56,203618.15,194675.55,253828.16,419106.06,440725.89,260602.53,265136.85,291077.8,415376.54,627902.2
AL,2702553,Estrela de Alagoas,,,,,0,0,0,0,223.0335,3223.8,1034.69,4908.47,7236.53,8221.49,6107,6091.38,39467,98784,80531.02,59756.85,94071.33,106319.55,146840.98,233165.16,325038.42,378202.03,392220.32,288948.75,61183.48,232336.51,432453.66,226414.16,263187.3
AL,2702603,Feira Grande,3.27E-08,0,1.03E-06,2.16E-05,0.000923127,0.006092727,0.219066909,0.241929055,40.05,1050,0,30000,36962.26,40726,43231,66627,33932,160460.31,117662.37,147293.87,135911.21,210374.88,254113.51,209997.91,252943.02,434633.87,223697.74,876831.5,358714.1,441530.32,432593.68,345411.59,214217.6
AL,2702702,Feliz Deserto,1.00E-06,3.33E-06,7.78E-06,3.18E-05,0.000329091,0.0232,0.2056192,1.334545455,38.4,907.2,2340,4720.16,5546.97,0,2968,7509,19630,81377.72,60385.33,106521.13,118569.93,105457.46,78655.7,93651.36,108272.91,176272.28,169176.91,191681.41,37772.16,288039.47,73746.35,103541.33,30979.71
AL,2702801,Flexeiras,2.46E-07,1.02E-06,1.89E-06,2.57E-05,0.002834618,0.015301746,0.24548,4.637922546,360.7891,101.9,783.5,8330.4,20082.66,28674,44829,36943,47189,109275,117550,139141,144451,159568,172529,364842.36,541792,1057749.71,508886.28,,,,,,
AL,2702900,Girau do Ponciano,3.99E-06,9.91E-06,2.09E-05,0,0.002473564,0.302199636,1.189958073,6.5567752,262.7249,7478.1,5531.35,20939.3,24744.25,,,51463.82,23993.25,90866.88,87014.21,173348.96,251333.1,425258.34,677756.47,957340.72,776180.08,1273760.49,979677.25,3356055.95,848888.5,2545594.44,1023160.81,2443742.23,2425998
AL,2703007,Ibateguara,2.06E-06,2.73E-06,5.73E-06,2.71E-05,0.000104727,0.028885018,0.764309964,1.342938255,263.8322,2734.9,0,0,2912.08,,,416571,21086.79,77960.33,83119.52,168481.6,296999.35,477855.19,1142611.05,542244.11,378589.78,256810.86,507549.28,463113.68,196108.03,229358.51,114006.3,157883.93,201600.5
AL,2703106,Igaci,1.02E-06,1.18E-07,2.70E-05,7.92E-05,0.004215418,0.034310473,0.116759855,1.174281818,477.8984,2962,5782.21,4226.07,,92305.98,22292,39119.88,39319.18,287632.82,360256.52,304912,467597,460845,421656,728333.04,510828.18,436749.36,,439475.51,414016.34,1250865.07,648843.92,964666.34,1336548.89
AL,2703205,Igreja Nova,9.23E-07,2.47E-06,8.89E-06,0.000213217,0.000607273,0.047908036,0.958870836,3.244859673,1120.5175,23156.1,76680.8,34734.83,40315.5,140703.47,30622.22,72949.94,180515.94,239991.15,535434.12,634657.96,745156.29,958451.87,970861.54,938381.62,1098411.24,1054053.61,438910.75,553506.93,3066301.61,932059.48,663179.86,819374.72,408469.9
AL,2703304,Inhapi,9.45E-07,3.92E-06,1.46E-05,4.24E-06,0.000378582,0.130915927,0.413269636,1.827672727,392.3467,8491.8,28148.72,22905.58,28731.39,,,9786.4,25671.52,40124.29,63184.21,84162.25,,,,,156322.07,479676.57,,,6220378,9136830.58,3364242,943293.42,951847.7
AL,2703403,Jacaré dos Homens,9.88E-07,6.37E-08,1.52E-06,2.29E-06,0.001664509,0.016469564,0.013110436,2.511613164,0,0,80,0,,82,2020,40,8782,26252.72,133969.03,45989.05,94929.27,100343.28,133925.62,204949,125914.24,179329.75,224463.52,270592.18,177846.98,196490.4,91544.47,110359.36,123403.1
AL,2703502,Jacuípe,1.27E-06,0,4.71E-05,0,0,0.004472727,0.573254727,2.836363636,123.3716,11304.1,0,0,2055.14,,,443,1782.34,17627.7,28713.43,29839.64,68226.21,120680.67,96313.49,260702.41,1333386.63,2042345.5,449197.92,638176.79,207003.81,286723.42,24393.9,14174.61,55871.13
AL,2703601,Japaratinga,6.77E-07,2.16E-06,8.93E-08,4.69E-05,0.000441346,0.163153346,0.895469673,7.374832036,461.6513,4794.7,21303.25,57995.34,20913.57,,,,59742,95388.34,102944.53,137298.85,,100939.4,88643.59,29944.25,96632.76,,,,418547.44,269981.43,247883.96,,
AL,2703700,Jaramataia,1.10E-06,1.00E-06,0,0,8.00E-06,0,0,0,0,0,0,0,13643.53,,,9270,36669,39500.42,11957.68,53840.38,60133.37,65486.01,61068.55,67583.9299,92172.99,114519.31,308630.83,106551.37,66530.61,,,,60358.17
AL,2703759,Jequiá da Praia,,,,,,,,,,,,,,,,,26938,82776.75,100118.8,431067.86,269635.52,435095.05,623336.45,471125.48,667043.21,749692.31,2357097.56,,242799.5,445365.45,173104.01,319462.74,256227.4
AL,2703809,Joaquim Gomes,8.65E-07,1.11E-06,6.73E-06,5.55E-05,0.009687236,0.246626364,0.469711636,15.79345844,619.42,32.8,170.73,27864.2,11501.34,19300,12051,8633,86454,150678,166946,234968.56,92418.92,107028.48,411435.81,292464.32,292668.79,660098.65,1177414.71,1069464.92,,466650.55,473592.1,,323397.1
AL,2703908,Jundiá,0,1.10E-06,4.13E-06,9.27E-06,0.000111673,0.365812582,0.7153244,0.264275855,19.2003,136.7,22757.02,2122.7399,11660.26,13538,2933,5783,16189,73056.88,78347.57,84876.2,64985.05,115264.28,131380.79,149460.62,127767.02,1023432.41,203337.03,235394.01,306650.79,45756.71,29450.66,51516.44,423831.3
AL,2704005,Junqueiro,2.54E-07,1.14E-07,5.62E-07,1.02E-06,0.000581273,0.159216291,0.204882618,1.371371018,718.2791,81,402.66,12342.16,28405,52518.23,70845.29,88557.72,41977.4,62606.68,214775.43,294686.87,335426.49,439958.49,532796.22,934265.83,499531.66,390875.75,2392636.11,1942040.84,1350250,,,,
AL,2704104,Lagoa da Canoa,0,0,0,2.36E-06,1.09E-05,0,0.164036364,1.532109091,506.334,524.1,882.4,61426.82,3150.4,2947.4,4369.61,83884.48,37231.7,201594.78,145649.37,177225.27,109854.05,230231.69,258615.62,373007.59,327286.96,501897.16,603840.24,,623944.6,877213.09,272396.05,289834.02,120336.5
AL,2704203,Limoeiro de Anadia,8.53E-07,9.07E-08,4.17E-07,4.19E-05,0.000208,0.133615418,0.394242364,3.517863927,114.3966,1262.3,1196,0,43518.13,120.5,6461.03,32902.09,33076,83780.08,82593.39,68714.52,151175.71,235655.63,229993.58,335725.11,206179.15,454578.97,427741.26,235214.16,148248.3,283261.16,320342.13,213303.38,619849.7
AL,2704302,Maceió,0.007061568,0.018513719,0.052916587,,0,0,0,0,870506.5634,9814498.1,25624825.49,31164686.23,34352686.28,37449383.54,36113667.27,40062698.33,46123617,60484483.07,63843947.94,82992063.81,103996358.7,119085828.8,131763551.7,144388679.8,166144897.5,206469392.4,235883320.2,271355348.1,146598427.3,165636021,176507861,188929742.2,204306387
AL,2704401,Major Isidoro,5.17E-06,1.59E-05,2.50E-05,0.000261731,0.006417673,0.318963309,0.272493746,16.87714789,479.9449,3502.3,5098.77,10987.27,2560.17,2457,8578,8999,26586,169317.48,109175.06,97823,128742.49,194606.73,225694.16,285243.39,240706.07,429078.47,652887.32,594435.28,266968.8,197090.68,213402.05,312526.5,712038.64
AL,2704500,Maragogi,1.10E-05,4.88E-05,0.000144497,0.001358462,0.011715055,0.553161346,2.698110073,18.61202538,1719.0739,24510.7,32003.74,78797.31,255308.92,323888.43,304427,355834.8,446445,471738.73,526674.76,988656.66,1069621.38,1110127.26,1268452.88,2084719.65,2557337.4,3061079.38,3811586.79,,615945.4,1889643.11,5449615.54,5527541.71,4860532
AL,2704609,Maravilha,3.73E-08,3.98E-07,4.62E-07,2.97E-07,0.002054946,0.008830909,0.024522073,0,102.4293,888,2847.61,0,27481.58,1837.5,2433.12,40281,19617.48,65631.51,84792.05,106964.07,77147.14,207550.65,189800.85,262992.85,299608.68,467640.23,598400.24,615049.41,267037.8,466552.08,,,441495.4
AL,2704708,Marechal Deodoro,1.82E-05,0.000382152,0.004335422,0.041101862,0.271528946,11.84788585,24.98871047,196.9879349,29707.7403,289645.7,424449.94,757778.47,1100415.34,912221,667752.45,788134.47,1203293,1784080.04,1868588.46,2930353.96,5171882.66,4988840.49,5726030.9,5475890.67,5727287.67,7954751.03,11787251.71,14770861.33,947624.1,8129549.77,10001530.36,6983075.32,7093411
AL,2704807,Maribondo,2.09E-06,2.50E-06,7.60E-06,6.66E-05,0.005811709,0.250506546,1.507990655,5.632205236,497.5568,5047.7,22474.91,32754.47,16931.26,17876.88,12161.2,,24045.88,76273.65,160860.03,114219.21,199330.62,258120.11,275936.46,382528.1599,420651.4099,464601.93,639678.88,679648.26,184951.84,221677.78,313681.91,375873.89,321094.2
AL,2704906,Mar Vermelho,1.86E-07,8.48E-07,2.75E-06,3.74E-06,0.001682255,0.072327855,0.720562727,0.978838291,62.16,87.4,0,0,6396.97,,,4538,20763.26,56917.73,71976.95,132382.39,60191.53,49046.16,58680.61,76237.25,86934.03,76867.13,,,68273.95,267303.7,47193.7,119895.77,130854.9
AL,2705002,Mata Grande,9.60E-06,1.84E-05,4.25E-05,7.08E-05,0.000557164,0.148272655,2.5834016,6.770765855,774.1574,10063.2,28512.85,21501.88,4428.7,23765.95,16389.42,79031,110799,253512.96,219495.65,295173.63,362646.35,511087.24,535009.62,709816.13,594577.8,954245.59,217393.76,223364.71,381241.36,364775.82,255400.15,336914.5,1529175
AL,2705101,Matriz de Camaragibe,1.09E-06,1.12E-05,8.32E-05,0.00041089,0.000443346,0.010596727,0.038205091,1.102648909,67.9053,4249,5987.93,47765.94,11234.42,33606,22448,70023,84547.01,183589,175963.67,195251.93,,158008.46,97320.74,318728.05,211128.56,2082336.49,1215922.91,562024.99,465345.33,595063.75,371564.7,335376.19,789117.2
AL,2705200,Messias,3.87E-07,7.69E-07,1.02E-06,1.31E-05,0.006045564,0.291975818,1.459037127,11.52391287,713.6181,4456.3,4143.09,6517.58,23721.16,14966,8175,12861,43452.73,194284.06,919055.4,377220.5,161444.87,231140.09,195376.02,131352.45,370856.37,491458.86,440576.25,550523.69,223105.7,425889.71,919958.38,1342419.65,2383320.47
AL,2705309,Minador do Negrão,2.27E-07,3.28E-06,2.71E-06,4.94E-06,0.001123346,0.000311673,0,0,0,213.5,632.9299,2278.7399,11562.19,1141.01,1326.94,1592.1,6470.99,32391.29,35850.92,37684,95657,75657,64002.16,114104.14,144957.48,119902.06,170589.07,106806.55,120124.38,,78572.92,0,118080
