Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,2702207,Coqueiro Seco,3.65E-05,9.75E-05,0.000336333,0.000641386,0.023715927,1.548535346,6.167795891,65.13577458,3141.6421,69461.9,133577.6399,136782.89,130702.96,,,199401,260680,287006.35,351795.74,417566.35,459484.62,542994.93,619259.62,742049.96,793455.01,943564.3,1087415.05,1166330.19,1222677.84,1336529.73,1383407.66,1690956.84,1668894.04
AL,2702306,Coruripe,0.002364201,0.005900361,0.02057567,0.032148301,1.047276364,77.21318622,310.4867491,2460.485157,136651.2889,713706.9,0,4584366.17,5660363.02,,,8270625.54,7687984,8515561.63,11950213.75,13081158.06,14095325.27,15719008,15886891.88,17866773.12,15011065.85,15270559.22,18239383.06,20123846.91,23778392.49,27409561.35,28759333.31,32657939.59,32470569
AL,2702355,Craíbas,4.06E-05,0.000116981,0.000859199,0.002221785,0.055281855,2.056234764,13.89225604,152.868339,5488.995,82498.2,166379.4999,0,274110.84,353583.7,296466.49,375549.15,396209.59,372741.86,448170.63,621546,685146,796751,937174.1,1106943.9,1158155.1,1452330.78,1650163.85,1805943.13,1978761,2269275.68,2503567.21,3438374.17,4103025.5
AL,2702405,Delmiro Gouveia,0.000891256,0.002581437,0.006147262,0.010907799,0.158471346,0,94.79352578,430.8243929,18084.4168,241947,565275.57,579923,1175090.66,1413197,1576654,3092288,5359800,7684432.87,3285672.16,4151525.3,9402807.18,12936804.25,13726908.56,16498298.51,19769095.22,26153774.22,27766133.58,29113855.53,30917442.08,28005702.99,27091149.22,19027488.62,16302642
AL,2702504,Dois Riachos,3.55E-05,0.00010307,,0.003611547,0.0660152,1.940099018,7.417813673,74.27547167,3639.5787,76889.7,116304.9299,130184.01,,,,234388.2,259711.2,341258.71,457348,468496.02,533344.1,656654.12,767639.4,871956.94,922086.37,1111711.63,1226852.43,1326492.95,1422725.89,1571924.92,1661647.18,2743420.6,3654992.5
AL,2702553,Estrela de Alagoas,,,,,0,0,0,0,4558.0902,51607.9,132649.21,185601,206975.77,213640.24,246836,270401.14,351514,386698.32,456057.02,518855.2,589134.92,663899.77,769171.8799,1007427.37,1070082.77,1300365.28,1455377.12,1589244.79,1700686.44,1901986.49,1948734.84,2816549.62,3138477.4
AL,2702603,Feira Grande,5.03E-05,0.000144127,0.001114668,0.001761541,0.059430109,4.433556691,16.39066873,271.0003922,5961.723,70863,169937.79,209483.76,249735.22,242785,220058,271174,352025,387220.11,462774.91,557712.65,617127.21,805114.04,828528.86,985981.42,1017445.23,1265672.5,1425119.23,1728116.23,1868612.8,1942637.24,2073643.32,2870605.3,3431819.7
AL,2702702,Feliz Deserto,6.19E-05,0.00017649,0.000798626,0.000994905,0.050725127,2.955309418,11.59533811,64.7882844,3358.9664,45713.4,120181.7,151957.1,140887.58,186168,174754,230262,319105,816204.7,1202271.49,1217767.91,2177481.6,3014331.56,2323646.73,2366168.9,1971995.99,2289098.18,2324718.58,2584233.9,2884190.04,3250678.75,3609693.52,3864702.27,3785667.72
AL,2702801,Flexeiras,0.000469515,0.001310366,0.003144246,0.005038787,0.106892836,9.702776036,39.21366727,262.4715173,11065.9918,131357.3,350485.87,356926.58,368356.16,530468,406705,452057,590094,694606,728357,788245,804389,1088081,1257749,1413719.34,1555715,1890080.65,2224999.66,,,,,,
AL,2702900,Girau do Ponciano,9.42E-05,0.000336579,0.001310408,0.002261732,0.084336291,4.517201964,17.74321509,196.6637744,7200.0017,88853.5,257435.86,334690.1,372619.04,,,473902.11,521472.16,606847.23,725464.38,857589.89,713748.32,1054003.58,1309734.8,1546397.92,1663630.48,2932510.99,3332733.15,3068548.23,3170539.8,3121632.17,3260955.58,4670661.35,5484688.1
