Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,2700508,Barra de Santo Antônio,0.000539334,0.001936694,0.004970675,0.029059365,0.473354546,19.09528836,77.17336898,1400.305385,89880.3058,862754.1,1688464.47,1884374.86,2324177.31,,,4482328.5,5113479.38,6118400.52,6426687.55,7898682.85,9435002.47,10948822.04,11383268.41,16204734.3,17678031.96,19253969.16,23386461.5,24683435.39,26354738.95,29246857.05,31370496.92,35647651.04,33478599
AL,2700607,Barra de São Miguel,0.000452557,0.001385952,0.004727118,0.02793552,0.412177818,22.64034262,72.64172247,972.954676,51673.4811,510764.2,1092360.28,1236089.41,1311720.74,2043168.34,2099716.72,2548199,2742907,3662171.33,4072793.02,4788784.16,5870490.29,6640274.31,7853773.52,9755830.03,10275915.93,11584107.32,13656892.88,14266005.44,15556460.75,18191510.12,19427375.64,13029487.86,20479139
AL,2700706,Batalha,0.000759589,0.00244257,0.007650576,0.041208483,0.637294509,32.27573862,150.5390136,1568.262517,100181.162,876076.1,1771162.93,1895706.2,2143157.3,,,4839175.49,6204585.11,5967892.67,6655509.25,8317583.27,,11840820.88,12912058.03,17346452.45,19342872.98,22065217.47,27966052.31,28955865.31,32272368.93,35664731.77,39136246.13,43159608.61,41230301
AL,2700805,Belém,0.000497828,0.001567429,0.005376784,0.028527208,0.4368492,17.06721364,70.84640829,767.0090372,46693.7251,438259.4,1110984.3,1331231.43,,2414417.19,2284616.77,2795087.7,3205642.56,4104730.86,3867947.43,,,6282628.76,6450131.93,,,10767825.97,13044122.29,,13417819,,,,
AL,2700904,Belo Monte,0.000368605,0.00112908,0.003131589,0.017792514,0.427773673,16.51147509,72.08155735,787.8465007,56524.0792,423474.1,1017272.03,1172001.85,1308272.66,2183392.02,2419453.26,2633292.8,3082519,4025655.32,4299118.35,5227193.25,6270428.15,7126840.52,8327709.02,9925934.24,10511621.6,12175315.81,14656402.33,15532208.14,16913230.51,9794034.45,17971900.58,21492849.03,20768291
AL,2701001,Boca da Mata,0.001619023,0.00482106,0.012229148,0.05783861,0.816921818,44.13238629,191.2030044,2459.374765,135543.7311,1197785.6,1980945.23,2806191.71,3390237.18,,,8735042,9066906,11574436,13909921.43,15756718,,19331634.35,23309396.03,27432391.78,29553002.25,33563953.38,40049885.83,42314794.61,48523408.7,59901305.38,55757015.84,58995701.6,53438537
AL,2701100,Branquinha,0.000500905,0.001480456,0.003920832,0.01574494,0.190364982,25.15611673,101.4837457,994.0966111,61693.461,534618.5,1110249.92,1494943.59,1594944.98,,,3423966,3798619.97,4932853.13,5465103.34,6605913.95,8044581.33,9332217.96,11718758.57,13173136.9,13945791.49,17214079.05,19583011.08,20662159.26,22454912.33,32472456.73,26849386.84,30065138.61,29017447
AL,2701209,Cacimbinhas,0.000778736,0.002460452,0.006801609,0.039104489,0.673380727,22.80350945,93.22054051,971.407193,61675.0083,617866.7,1256001.22,1490619.54,,2853663,3134238,4040020,4187396,5128453.53,4979150.06,5737333.52,7040811.95,7495934.45,8697157.65,,11056852.77,13782668.11,17321943.94,19211258.76,20987459.34,22604026.79,24810776.6,28166560.45,27350376
AL,2701308,Cajueiro,0.001268838,0.004170537,0.010876104,0.048970435,0.590136218,24.81096193,119.5181013,1655.55595,101950.8944,977975.4,1954420.35,2294565.18,2595964.18,4722732,4715250,5706139.71,6267852,8482331.04,9291789.75,11172819.58,,14403044.19,17703369.59,22151226.89,26323374.77,26866241.56,,,38064424,43645502.67,61889495.53,52595090.34,47690350
AL,2701357,Campestre,,,,,0,0,0,0,0,0,0,0,1049913.7,,,2486701,2753193,4376911.47,3923635.61,4398508.17,5229340.34,6068299.64,7280497.62,9051863.16,9376340.82,10309767.79,12280378.58,13825098.15,16088992,16720621.64,17611805.68,19184697.8,17686729
AL,2701407,Campo Alegre,0.001373663,0.004009073,0.010436554,0.03691794,0.766145309,53.56471422,234.278415,2197.882191,154143.5214,1351090.3,3431850.02,3990689.13,3850053.44,6762012.42,9252147.25,9616049.37,10107569.92,13814830.64,15699532.64,18408533.32,21079356.38,22935420.53,29980492.24,35206756.03,38089845.92,47491678.61,51330841.31,57264749.99,67960251.72,,81278788.26,,
AL,2701506,Campo Grande,0.000337022,0.001425475,0.00413038,0.025606554,0.546504764,23.14996022,94.85153949,1028.87466,61968.4143,612488.7,1264243.21,1625478.44,,,,3346391.68,3192883.12,5608587.43,5472686.54,6437115.17,5387410.31,8472788.04,9938528.66,12604521.4,12715589.33,14365544.54,17375641.2,18911888.47,21893006,,,,25468462
AL,2701605,Canapi,0.000700828,,0.00578345,0.033191261,0.495646546,21.09076433,99.25028196,1694.198137,108936.7211,938647.7,2009305.86,2401360.38,2831053.15,,,5326263.97,5144319.53,7352100.74,8502798.62,8497933,11327613.51,12554502.87,15145793.25,19612617.24,20008065.9,24085143.77,29264175.73,30812953.38,33319534,37890216.93,39990263.83,,43056547
AL,2701704,Capela,0.001316124,0.003384575,0.008651514,0.038708683,0.566208,27.74756375,103.0058278,1589.762304,100652.5288,928281.2,1914581.9,1479298.08,2459739.47,3262775,3916069,5164324.11,6706035,7320348,7969179,10238292,12491120.11,14368971.54,17116737.11,21133517.68,23007285.36,26582774.84,30749057.5,31411359.74,33912543.57,18197995.65,42688455.09,23225764.16,46142098
AL,2701803,Carneiros,0.000518393,0.001605381,0.005564819,0.023358941,0.456275273,13.71454255,55.34168109,741.3321216,47239.0533,418180.9,899394.5,982785.91,1191615.7,2096649.29,2400903.81,2669623.77,3216608.85,4269641.69,4502846.59,5844471.75,6537185.53,7271455.54,8826538.74,9525744.34,10808709.76,12108054.26,,,,,19387679.22,,
AL,2701902,Chã Preta,0.000380914,0.00122566,0.003472578,0.01991284,0.305391055,17.47762273,90.8784948,987.8945194,65758.3994,566395.6,1259639.5,1486173.56,1601725.01,2207396,,2956751,2961857,4764902.56,4376030.85,5856929.4,6214874.75,6425900.49,7965506.53,9438201.46,10123118.91,11175616.36,14399455.36,,14994457,16533406.09,16495763.72,19528699.05,23882227
AL,2702009,Coité do Nóia,0.000500197,0.002008172,0.006224,0.036269267,0.558586218,22.35288949,95.0854024,1019.104025,60566.1726,543279.6,1196108.62,1286125.04,1612763.84,,,3052904.75,4123871.67,5333227.58,5722795.44,6789343.54,7957733.02,9049251.58,11814527.69,12556949.26,13407840.11,15133980.76,18106695.22,18843265.1,20728200.27,11742553.2,23303018.41,25998215.49,26217252
AL,2702108,Colônia Leopoldina,0.001051737,0.003043264,0.009395375,0.048522547,0.617373564,48.64879236,194.4069118,1827.472243,123682.9696,1097014,1945039.82,2251558.43,2845057.9,,,6574854,7027430,8951014.26,9253870.52,10508187.8,12749756.08,13946070.47,16956811.34,21693698.12,23319514.42,26508120.89,32197861.42,34565455.97,37082920.35,19771259.03,41779124.85,23775330.9,
AL,2702207,Coqueiro Seco,0.000358157,0.001107403,0.003132887,0.01880189,0.290078727,12.14353727,49.48863102,735.4819612,46556.3078,436315.7,928504.6,1062832.64,1204787.06,,,2133024,2401580,3254046.59,3528222.68,4086620.07,5006144.96,5663024.13,6708279.3,8196045.92,8610230.63,10365992.82,12450216.92,13175689.75,13760444.84,15514672.53,15975918.11,25106847.26,24221771
